,pitcher,SwOE_Balls,SwUE_Strikes,Deception_Over_Expectation
88,Nate Pearson,0.025949102,0.174048877,0.199997979
13,Tyler Chatwood,0.072724392,0.102478422,0.175202814
6,Elieser Hernandez,0.092396814,0.074144797,0.166541611
29,Wade LeBlanc,0.053676221,0.111516662,0.165192883
1,James Paxton,0.130238843,0.032855089,0.163093932
49,Colten Brewer,0.04618429,0.115217282,0.161401572
7,Alex Cobb,0.090977095,0.049324744,0.140301839
23,Taylor Widener,0.057366831,0.081788829,0.13915566
57,Pedro Baez,0.038609307,0.093372616,0.131981924
5,Jalen Beeks,0.094646527,0.036512411,0.131158938
137,Jonathan Loaisiga,0.009536273,0.120500276,0.130036549
59,Touki Toussaint,0.037527355,0.087882402,0.125409757
2,Nathan Eovaldi,0.106649065,0.014537814,0.121186879
0,Jake McGee,0.137191888,-0.016033829,0.121158059
44,Gio Gonzalez,0.048518759,0.072124833,0.120643593
10,Duane Underwood Jr.,0.07811856,0.04232943,0.12044799
4,Greg Holland,0.097112821,0.01711195,0.114224771
82,Adam Plutko,0.028269001,0.084704185,0.112973185
9,Steven Matz,0.083100399,0.022722695,0.105823094
115,Rafael Dolis,0.016093343,0.083662283,0.099755626
78,Kyle Funkhouser,0.030267511,0.067068504,0.097336015
11,Matt Shoemaker,0.073143773,0.023605765,0.096749538
159,Trevor Rosenthal,0.002311576,0.091779796,0.094091372
47,Ross Stripling,0.047510229,0.045547655,0.093057883
30,Dinelson Lamet,0.053661555,0.038973702,0.092635257
55,Kenta Maeda,0.041323712,0.050972246,0.092295957
75,Dallas Keuchel,0.031013281,0.060247707,0.091260988
41,Max Fried,0.04912018,0.041928043,0.091048224
38,Zack Godley,0.049844161,0.04102165,0.090865812
33,Scott Barlow,0.052325724,0.035387904,0.087713628
104,Enoli Paredes,0.021386634,0.065596889,0.086983523
18,Heath Hembree,0.061911962,0.024514037,0.086425999
28,Patrick Sandoval,0.054289984,0.031373944,0.085663927
36,Danny Duffy,0.050781854,0.034725233,0.085507087
3,Joe Musgrove,0.099977333,-0.017192654,0.08278468
128,Luis Cessa,0.011431641,0.070610251,0.082041892
37,Anthony Bass,0.050595885,0.027010852,0.077606737
14,Randy Dobnak,0.070267644,0.00721434,0.077481984
8,Kyle Hendricks,0.086476563,-0.010363222,0.076113341
60,Matt Andriese,0.037335482,0.038128817,0.0754643
212,Luis Patino,-0.013264386,0.087428188,0.074163803
130,Gregory Soto,0.011081271,0.062523262,0.073604534
171,Trevor Richards,-0.002619439,0.075702817,0.073083378
20,Caleb Ferguson,0.060286373,0.012723232,0.073009605
155,Kyle Zimmer,0.00312197,0.069652928,0.072774898
97,Yohan Ramirez,0.023488335,0.047944282,0.071432617
65,Jordan Montgomery,0.034823975,0.034528726,0.069352702
210,Pierce Johnson,-0.013038288,0.082220125,0.069181837
67,Jorge Alcala,0.03382156,0.033821706,0.067643267
15,Noe Ramirez,0.069988748,-0.002835699,0.067153049
105,Derek Holland,0.0212747,0.043768002,0.065042702
129,Merrill Kelly,0.011363849,0.052651967,0.064015816
52,Kevin Ginkel,0.044104942,0.01930512,0.063410062
21,Sonny Gray,0.059296047,0.004105937,0.063401983
98,Nick Margevicius,0.023179497,0.039064586,0.062244083
157,Josh Osich,0.002324856,0.0592717,0.061596556
35,Jose Cisnero,0.050845431,0.009615424,0.060460856
108,Tanner Scott,0.019983572,0.039459848,0.059443421
26,Corbin Burnes,0.055433127,0.003812939,0.059246066
76,Alex Colome,0.030982174,0.027357662,0.058339836
24,Jon Gray,0.056904348,0.000277757,0.057182105
111,Craig Stammen,0.018416174,0.036985123,0.055401296
34,Chris Paddack,0.051151251,0.003657843,0.054809094
109,Chris Bassitt,0.019724859,0.034461787,0.054186647
223,Dovydas Neverauskas,-0.014570262,0.06820856,0.053638299
123,Asher Wojciechowski,0.013643534,0.039257262,0.052900796
40,Logan Webb,0.049189532,0.002801035,0.051990567
68,Adrian Houser,0.033305225,0.01859874,0.051903965
58,Gerrit Cole,0.037648458,0.014245468,0.051893926
31,Nick Wittgren,0.053139904,-0.002085668,0.051054235
96,Alex Claudio,0.024198761,0.025572208,0.04977097
122,Robbie Ray,0.013848114,0.034607251,0.048455365
126,Josh Lindblom,0.011796738,0.035845219,0.047641957
219,Rony Garcia,-0.013797759,0.061263673,0.047465913
181,Andre Scrubb,-0.005460457,0.052798497,0.04733804
45,T.J. McFarland,0.048406769,-0.001113879,0.04729289
50,German Marquez,0.045478527,0.001667083,0.04714561
103,A.J. Cole,0.021389527,0.025545035,0.046934562
12,Jacob Barnes,0.073108568,-0.026682997,0.046425571
231,Pablo Lopez,-0.016960996,0.061278968,0.044317972
124,Yusei Kikuchi,0.013338659,0.029753154,0.043091813
259,Zac Gallen,-0.026092745,0.068747971,0.042655226
140,Zach Eflin,0.008601771,0.033953273,0.042555044
46,Jonathan Hernandez,0.048059139,-0.006275782,0.041783357
102,Dylan Floro,0.021459761,0.020108849,0.041568609
142,Julio Urias,0.008247633,0.033291181,0.041538814
175,Dylan Cease,-0.003247092,0.042953848,0.039706757
22,Mike Clevinger,0.057643456,-0.018052575,0.039590881
77,Tyler Kinley,0.030968547,0.007023424,0.037991971
147,Robbie Erlin,0.007107637,0.030763458,0.037871095
146,Jairo Diaz,0.007266986,0.029886191,0.037153177
93,Daniel Ponce de Leon,0.025094909,0.010582827,0.035677736
48,Jose Berrios,0.046224115,-0.011210906,0.035013209
110,Tommy Hunter,0.019007354,0.015846295,0.034853649
169,Thomas Hatch,-0.001182535,0.035859774,0.034677239
80,Junior Guerra,0.029385531,0.005165019,0.03455055
85,Lance McCullers Jr.,0.026344314,0.008195865,0.034540179
62,Evan Marshall,0.035321711,-0.001686865,0.033634846
164,Diego Castillo,0.000933119,0.032132642,0.033065761
273,Trevor Cahill,-0.030587046,0.063303856,0.03271681
118,Garrett Richards,0.01512194,0.017156355,0.032278295
114,Ryan Pressly,0.017476029,0.01478833,0.03226436
167,Jake Arrieta,-0.000834175,0.032676133,0.031841958
112,Mike Minor,0.018027632,0.013392581,0.031420213
27,Lucas Giolito,0.05429247,-0.022920975,0.031371495
17,Ross Detwiler,0.067010869,-0.037133435,0.029877434
79,Justin Wilson,0.029685198,-3.34E-05,0.029651784
42,Frankie Montas,0.048722351,-0.019272374,0.029449977
148,Tommy Milone,0.006054737,0.022907401,0.028962138
178,Daniel Castano,-0.004927415,0.033348835,0.02842142
186,Framber Valdez,-0.006120986,0.034371397,0.028250411
101,Brad Hand,0.021784428,0.005293599,0.027078027
120,Griffin Canning,0.014715598,0.012159833,0.02687543
39,Anthony Misiewicz,0.049402303,-0.02264288,0.026759423
16,Liam Hendriks,0.069884568,-0.043252826,0.026631742
25,Bryan Garcia,0.05635499,-0.030306356,0.026048634
255,Hector Rondon,-0.024694634,0.050539586,0.025844952
162,Tyler Rogers,0.001479772,0.023896945,0.025376717
154,Brandon Bielak,0.003421607,0.021487638,0.024909246
141,Tyler Glasnow,0.008484421,0.016421566,0.024905986
153,Brady Singer,0.003843268,0.020661184,0.024504452
287,Jeurys Familia,-0.034584725,0.059056203,0.024471478
152,Austin Brice,0.004671147,0.019725028,0.024396175
51,Matthew Boyd,0.04415766,-0.020834844,0.023322816
150,Rowan Wick,0.005739699,0.01745979,0.023199489
73,Lance Lynn,0.032328634,-0.009262928,0.023065705
53,Kevin Gausman,0.043030164,-0.020528185,0.022501979
91,Martin Perez,0.025570396,-0.003553113,0.022017282
136,Carlos Carrasco,0.009538325,0.012461225,0.021999551
240,Devin Williams,-0.019207357,0.040762338,0.021554981
131,Freddy Peralta,0.010441814,0.010599529,0.021041343
107,Caleb Baragar,0.020077518,0.000646671,0.020724189
121,Tyler Zuber,0.013920328,0.006628362,0.02054869
237,Zach Davies,-0.018443654,0.037178372,0.018734718
92,Michael Wacha,0.025302065,-0.006886895,0.01841517
139,Jacob Waguespack,0.008975959,0.009421095,0.018397053
188,Luke Jackson,-0.007140767,0.024612176,0.017471409
173,Spencer Turnbull,-0.002906909,0.020336606,0.017429697
208,Anthony Kay,-0.012756532,0.030058143,0.017301611
296,Casey Sadler,-0.040093311,0.057117547,0.017024236
64,Wandy Peralta,0.035090181,-0.018090461,0.016999721
207,Blake Taylor,-0.012524416,0.029396256,0.016871839
66,Tejay Antone,0.034695272,-0.01793351,0.016761762
106,Kolby Allard,0.02033774,-0.003756289,0.016581451
328,Josh Staumont,-0.057722234,0.074193281,0.016471046
170,Shane Greene,-0.002050649,0.017771747,0.015721098
81,Lucas Sims,0.028402913,-0.012688979,0.015713934
