pitcher,SwUE
Nate Pearson,0.1740488766455183
Jonathan Loaisiga,0.12050027636127855
Colten Brewer,0.11521728217233847
Wade LeBlanc,0.11151666222700005
Tyler Chatwood,0.10247842192847208
Pedro Baez,0.0933726164769
Trevor Rosenthal,0.09177979603023727
Touki Toussaint,0.0878824019264952
Luis Patino,0.0874281882891181
Adam Plutko,0.08470418474599385
Rafael Dolis,0.0836622829896858
Pierce Johnson,0.08222012519836426
Taylor Widener,0.08178882921064222
Dan Altavilla,0.07751997499852567
Trevor Richards,0.07570281687356134
Josh Staumont,0.07419328063118215
Elieser Hernandez,0.07414479686026408
Gio Gonzalez,0.0721248334592527
Luis Cessa,0.07061025135583811
Kyle Zimmer,0.06965292770354474
Zac Gallen,0.06874797054570475
Dovydas Neverauskas,0.06820856034755707
Kyle Funkhouser,0.06706850430075552
Jeremy Jeffress,0.06566369035188725
Enoli Paredes,0.06559688917228154
Trevor Cahill,0.06330385620719824
Gregory Soto,0.0625232621795773
Pablo Lopez,0.06127896797016402
Rony Garcia,0.06126367284373923
Dallas Keuchel,0.06024770687643132
Josh Osich,0.05927169989872646
Jeurys Familia,0.05905620288558123
Casey Sadler,0.0571175469648118
Andre Scrubb,0.052798497097359766
Merrill Kelly,0.05265196650449572
Kenta Maeda,0.050972245512595035
Hector Rondon,0.050539585802218186
Alex Cobb,0.04932474410324766
Yohan Ramirez,0.04794428165516128
Matt Barnes,0.04618746794338496
Ross Stripling,0.045547654539564233
Taylor Hearn,0.04549684660775321
Derek Holland,0.04376800234828677
Dylan Cease,0.042953848345185904
Spencer Howard,0.04243418628519231
Duane Underwood Jr.,0.04232943019309601
Max Fried,0.04192804334727862
Zack Godley,0.04102165048772639
Devin Williams,0.0407623376311927
Tanner Scott,0.03945984843878718
Asher Wojciechowski,0.039257262240756645
Nick Margevicius,0.03906458607717366
Dinelson Lamet,0.03897370187971825
Matt Andriese,0.03812881714227248
Zach Davies,0.037178371548652646
Craig Stammen,0.03698512251312668
Wilmer Font,0.036819983921621155
Jalen Beeks,0.03651241139013168
Thomas Hatch,0.03585977421866523
Josh Lindblom,0.03584521869876294
Scott Barlow,0.03538790409699147
Danny Duffy,0.034725233302875
Robbie Ray,0.03460725050374686
Jordan Montgomery,0.03452872637636173
Chris Bassitt,0.03446178720756011
Framber Valdez,0.034371396996581184
James Karinchak,0.034084460606762006
Zach Eflin,0.033953272915073225
Jorge Alcala,0.03382170632962258
Rich Hill,0.03366077922926414
Daniel Castano,0.03334883503291918
Julio Urias,0.033291180680195494
James Paxton,0.032855089391980855
Jake Arrieta,0.03267613292008103
Miguel Castro,0.032585109448642985
Taijuan Walker,0.0325602934266744
Diego Castillo,0.03213264171419473
Patrick Sandoval,0.03137394368044428
Robbie Erlin,0.030763457822907077
Anthony Kay,0.030058143284036706
Jairo Diaz,0.029886190519199607
